GEOID,poptotal,gender_male,gender_female,age_0to4,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to59,age_60to64,age_65to74,age_75to84,age_85plus
860Z200US60463,14039,6952,7087,613,562,884,952,676,1485,1362,1214,1146,1101,2244,1171,629
860Z200US60464,9811,4809,5002,381,486,727,432,286,568,1102,1430,501,1114,1552,785,447
860Z200US60465,18379,8858,9521,770,984,1056,1047,874,1612,2498,2534,1136,1573,2466,1315,514
860Z200US60466,21549,9836,11713,1255,1618,1343,1629,1022,3343,3059,2740,1089,1364,2035,792,260
860Z200US60467,25322,12541,12781,1036,1012,1654,1863,1015,2183,2618,3321,2618,2050,3206,1888,858
860Z200US60468,5752,2890,2862,162,205,369,522,621,634,680,844,565,349,531,179,91
860Z200US60469,5732,3211,2521,454,467,421,675,600,765,609,772,312,217,305,61,74
860Z200US60470,370,187,183,19,15,40,14,10,54,50,51,34,15,52,7,9
860Z200US60471,13255,6226,7029,789,605,848,1166,1147,1243,1425,2379,1101,703,986,649,214
860Z200US60472,4863,2052,2811,362,379,293,89,497,905,463,465,343,363,425,174,105
860Z200US60473,21939,10081,11858,1029,1235,1741,1680,1248,2212,2659,3181,1589,1704,2000,1112,549
860Z200US60474,702,355,347,33,41,68,30,37,92,97,70,64,36,75,39,20
860Z200US60475,10010,5329,4681,565,604,667,679,741,986,1432,1411,367,651,1283,343,281
860Z200US60476,2299,1124,1175,127,54,110,167,119,298,285,310,191,253,219,112,54
860Z200US60477,37073,18014,19059,2191,2076,1941,1860,1887,5292,4695,4656,2683,2603,4248,2065,876
860Z200US60478,16758,7496,9262,747,876,1288,1602,654,1981,2216,1787,1204,1491,1820,903,189
860Z200US60479,740,394,346,11,35,26,90,49,58,99,130,56,77,84,20,5
860Z200US60480,5341,2563,2778,167,180,268,486,258,517,565,870,400,496,770,276,88
860Z200US60481,11313,5694,5619,649,479,537,575,600,1549,1147,1564,980,935,1298,773,227
